Name,Description,EmailId
APAUDRW,*AUDITOR,,
APDIVRW,*DIVFIN,,
APFINRO,*FINAPARG2,,
APFINRW,*FINAPARG2,,
APMGMRO,*MGMT,,
APMGMRW,*MGMT,,
APMRORO,*MRODIVFIN,,
APMRORW,*MRODIVFIN,,
APTAXRO,*TAX,,
APTAXRW,*TAX,,
APTRDRO,*TRDCMP_RO,,
ARAUDRO,*AUDITOR,,
ARDIVRW,*DIVFIN,,
ARFINRO,*FINAPARG2,,
ARFINRW,*FINAPARG2,,
ARMGMRO,*MGMT,,
ARMRORW,*MRODIVFIN,,
ARTAXRO,*TAX,,
BAAUDRO,*AUDITOR,,
BUAUDRO,*AUDITOR,,
BUDIVRW,*DIVFIN,,
BUFINRO,*FINAPARG2,,
BUFINRW,*FINAPARG2,,
BUMGMRO,*MGMT,,
BUMGMRW,*MGMT,,
BUMRORW,*MRODIVFIN,,
BUTAXRO,*TAX,,
CAAUDRO,*AUDITOR,,
CAFINRO,*FINMRO,,
CAMGMRW,*MGMTMRO,,
CAMRORO,*MRODIVFIN,,
CAMRORW,*MRODIVFIN,,
CFAUDRO,*AUDITOR,,
CFDIVRW,*DIVFIN,,
CFFINRO,*FINBUFAGL,,
CFFINRW,*FINSUPUSR,,
CFMGMRO,*MGMT,,
CFMRORW,*MRODIVFIN,,
CFTAXRO,*TAX,,
CHAUDRO,*AUDITOR,,
CHFINRW,*FINSUPUSR,,
CMAUDRO,*AUDITOR,,
COFINRO,*FINSUPUSR,,
COFINRW,*FINMRO,,
COMGMRO,*MGMTMRO,,
COMGMRW,*MGMTMRO,,
COMRORO,*MRODIVFIN,,
CRADMRO,*ADMIN,,
CRADMRW,*ADMIN,,
CRAUDRO,*AUDITOR,,
CRDIVRO,*DIVFIN,,
CRDIVRW,*DIVFIN,,
CRFINRO,*FINAPARG2,,
CRFINRW,*FINAPARG2,,
CRMGMRO,*MGMT,,
CRMGMRW,*MGMT,,
CRMRORO,*MRODIVFIN,,
CRMRORW,*MRODIVFIN,,
CRTAXRO,*TAX,,
CRTAXRW,*TAX,,
DBMRORO,*MRODIVFIN,,
DRFINRO,*FINMRO,,
EJAUDRO,*AUDITOR,,
EMAUDRO,*AUDITOR,,
FAAUDRO,*AUDITOR,,
FADIVRW,*DIVFIN,,
FAFINRO,*FINBUFAGL,,
FAFINRW,*FINBUFAGL,,
FAMGMRO,*MGMT,,
FAMRORO,*MRODIVFIN,,
FATAXRO,*TAX,,
FCAUDRO,*AUDITOR,,
FGR001_RO,FGR001_RO,,
FGR001_RW,FGR001_RW,,
FGR002_RO,FGR002_RO,,
FGR002_RW,FGR002_RW,,
FGR003_RO,FGR003_RO,,
FGR003_RW,FGR003_RW,,
FGR004_RO,FGR004_RO,,
FGR004_RW,FGR004_RW,,
FGR005_RO,FGR005_RO,,
FGR005_RW,FGR005_RW,,
FGR006_RO,FGR006_RO,,
FGR006_RW,FGR006_RW,,
FGR010_RO,FGR010_RO,,
FGR010_RW,FGR010_RW,,
FGR012_RO,FGR012_RO,,
FGR012_RW,FGR012_RW,,
FGR013_RO,FGR013_RO,,
FGR013_RW,FGR013_RW,,
FGR014_RO,FGR014_RO,,
FGR014_RW,FGR014_RW,,
FGR020_RO,FGR020_RO,,
FGR020_RW,FGR020_RW,,
FGR021_RO,FGR021_RO,,
FGR021_RW,FGR021_RW,,
FGR022_RO,FGR022_RO,,
FGR022_RW,FGR022_RW,,
FGR023_RO,FGR023_RO,,
FGR023_RW,FGR023_RW,,
FGR024_RO,FGR024_RO,,
FGR024_RW,FGR024_RW,,
FGR025_RO,FGR025_RO,,
FGR025_RW,FGR025_RW,,
FGR029_RO,FGR029_RO,,
FGR029_RW,FGR029_RW,,
FGR030_RO,FGR030_RO,,
FGR030_RW,FGR030_RW,,
FGR031_RO,FGR031_RO,,
FGR031_RW,FGR031_RW,,
FGR032_RO,FGR032_RO,,
FGR032_RW,FGR032_RW,,
FGR035_RO,FGR035_RO,,
FGR035_RW,FGR035_RW,,
FGR039_RO,FGR039_RO,,
FGR039_RW,FGR039_RW,,
FGR040_RO,FGR040_RO,,
FGR040_RW,FGR040_RW,,
FGR041_RO,FGR041_RO,,
FGR041_RW,FGR041_RW,,
FGR042_RO,FGR042_RO,,
FGR042_RW,FGR042_RW,,
FGR045_RO,FGR045_RO,,
FGR045_RW,FGR045_RW,,
FGR046_RO,FGR046_RO,,
FGR046_RW,FGR046_RW,,
FGR049_RO,FGR049_RO,,
FGR049_RW,FGR049_RW,,
FGR050_RO,FGR050_RO,,
FGR050_RW,FGR050_RW,,
FGR051_RO,FGR051_RO,,
FGR051_RW,FGR051_RW,,
FGR052_RO,FGR052_RO,,
FGR052_RW,FGR052_RW,,
FGR055_RO,FGR055_RO,,
FGR055_RW,FGR055_RW,,
FGR059_RO,FGR059_RO,,
FGR059_RW,FGR059_RW,,
FGR060_RO,FGR060_RO,,
FGR060_RW,FGR060_RW,,
FGR061_RO,FGR061_RO,,
FGR061_RW,FGR061_RW,,
FGR062_RO,FGR062_RO,,
FGR062_RW,FGR062_RW,,
FGR065_RO,FGR065_RO,,
FGR065_RW,FGR065_RW,,
FGR069_RO,FGR069_RO,,
FGR069_RW,FGR069_RW,,
FGR070_RO,FGR070_RO,,
FGR070_RW,FGR070_RW,,
FGR071_RO,FGR071_RO,,
FGR071_RW,FGR071_RW,,
FGR072_RO,FGR072_RO,,
FGR072_RW,FGR072_RW,,
FGR075_RO,FGR075_RO,,
FGR075_RW,FGR075_RW,,
